彼	bǐ	bei2	HI	피	PHI	bỉ	*byɛ̌
短	duǎn	dyun2	TAN	단	TAN	đoản	*duɑ̌n
靡	mí	mei5	HI BI MI	미	MI	mị	myɛ̌
恃	shì	ci5	JI SHI	시	SI		zhiə̌
己	jǐ	gei2	KI KO	기	KI	kỉ	giə̌
長	zhǎng	coeng4 zoeng2	CHOU	장	CANG	trường	*djhiɑng djhiɑ̀ng djhiɑ̌ng
信	xìn	seon3	SHIN	신	SIN	tín	*sìn
使	shǐ	sai2 si2 si3	SHI	사	SA SI	sứ	*shriə̌ shriə̀ shriə̌
可	kě	hak1 ho2	KA KOKU	가	KA KUK	khả	*kɑ̌
覆	fù	fau6 fuk1	FUKU FUU	복	POK PWU		*piòu bhiuk
器	qì	hei3	KI	기	KI	khí	kyì
欲	yù	juk6	YOKU	욕	YOK	dục	*iok
難	nán	naan4 naan6	NAN	난	NAN NA	nan	*nɑn
量	liàng	loeng4 loeng6	RYOU	량 양	LYANG		liɑng liɑ̀ng
墨	mò	mak6	BOKU MOKU	묵	MWUK		mək
悲	bēi	bei1	HI	비	PI	bi	*byi
絲	sī	si1	SHI BEKI	사	SA	tơ	*siə
染	rǎn	jim5	SEN	염	YEM	nhuộm	njiɛ̀m njiɛ̌m
詩	shī	si1	SHI	시	SI	thi	*shiə
讃	zàn		SAN		CHAN		
羔	gāo	gou1	KOU	고	KO		
羊	yáng	joeng4	YOU	양	YANG	dương	iɑng
景	jǐng	ging2 jing2	KEI EI	경	KYENG YENG	cảnh	*giæ̌ng *qiæ̌ng
行	xíng	haang4 hang4 hang6 hong4	KOU GYOU AN	항 행	HAYNG HANG	hàng	*hæng *hɑng
維	wéi	wai4	I YUI	유	YU		ui
賢	xián	jin4	KEN	현	HYEN	hiền	*hen
克	kè	haak1 hak1	KOKU	극	KUK	khắc	kək
念	niàn	nim6	NEN	념 염	NYEM	niệm	*nèm
作	zuò	zok3	SAKU SA	작	CAK CWU	tác	*tzɑk tzɑk
聖	shèng	sing3	SEI SHOU	성	SENG	thánh	*shiɛ̀ng
德	dé	dak1	TOKU	덕	TEK	đức	dək
建	jiàn	gin3	KEN KON	건	KEN	kiến	*giæ̀n
名	míng	meng4 ming4	MEI MYOU	명	MYENG	danh	*miæng
立	lì	laap6 lap6	RITSU RYUU	립 입	LIP	lập	*lip
形	xíng	jing4	KEI GYOU	형	HYENG	hình	*heng
端	duān	dyun1	TAN	단	TAN	đoan	*duɑn
表	biǎo	biu2	HYOU	표	PHYO	biểu	*biɛ̌i
正	zhèng	zeng3 zing1 zing3	SEI SHOU	정	CENG	chính	*jiɛ̀ng
空	kōng	hung1 hung3	KUU	공	KONG	không	*kung kùng
谷	gǔ	guk1 juk6	KOKU YOKU	곡	KOK YOK	cốc	*guk iok
傳	chuán	cyun4 zyun6	DEN TEN	전	CEN	truyền	djhiuɛ̀n
聲	shēng	seng1 sing1	SEI SHOU	성	SENG	thanh	*shiɛng
虛	xū	heoi1	KYO KO	허	HE		*xiu
堂	táng	tong4	DOU TOU	당	TANG	đường	*dhɑng
習	xí	zaap6	SHUU JUU	습	SUP	tập	zip
聽	tīng	teng1 ting1 ting3	CHOU TEI	청	CHENG	thính	*teng tèng
禍	huò	wo5 wo6	KA	화	HWA	hoạ	huɑ̌
因	yīn	jan1	IN	인	IN	nhân	*qin
惡	è	ngok3 ok3 wu1 wu3	O AKU	악 오	AK O	ác	*qɑk qò
積	jī	zik1	SEKI SHI	적	CEK CA	tích	*tziɛk
福	fú	fuk1	FUKU	복	POK	phúc	biuk
緣	yuán	jyun4	EN	연	YEN TAN	duyên	*iuɛn
善	shàn	sin6	ZEN	선	SEN	thiện	*zhiɛ̌n
慶	qìng	hing3	KEI KYOU	경	KYENG KANG	khánh	kiæ̀ng
尺	chǐ	ce2 cek3	SHAKU SEKI	척	CHEK	xích	*chiɛk
璧	bì	bik1 bik3	HEKI	벽	PYEK	bích	biɛk
非	fēi	fei1	HI	비	PI	phi	*biəi
寶	bǎo	bou2	HOU	보	PO	bảo	*bɑ̌u
寸	cùn	cyun3	SUN SON	촌	CHON	thốn	*tsuə̀n
陰	yīn	jam1	IN ON AN	음	UM	âm	*qim
是	shì	si6	ZE SHI	시	SI	thị	*zhiɛ̌
競	jìng	ging3 ging6	KYOU KEI	경	KYENG		*ghiæ̀ng
資	zī	zi1	SHI	자	CA		tzi
父	fù	fu2 fu6	FU HO	부	PWU PO		*bhiǒ
事	shì	si6	JI SHI	사	SA	sự	*jrhiə̀ jrhiə̀
君	jūn	gwan1	KUN	군	KWUN	quân	*giuən
曰	yuē	joek6 jyut6	ETSU	왈	WAL	viết	*hiuæt
嚴	yán	jim4	GEN GON	엄	EM	nghiêm	*ngiæm
與	yǔ	jyu4 jyu5 jyu6	YO	여	YE	dữ	*iǔ iu
敬	jìng	ging3	KEI KYOU	경	KYENG	kính	*giæ̀ng
孝	xiào	haau3	KOU KYOU	효	HYO	hiếu	xàu
當	dāng	dong1 dong3	TOU	당	TANG	đương	*dɑng dɑ̀ng
竭	jié	git3 kit3	KETSU	갈	KAL KEL	kiệt	ghyɛt
力	lì	lik6	RYOKU RIKI	력 역	LYEK	lực	*liək
忠	zhōng	zung1	CHUU	충	CHWUNG	trung	djiung
則	zé	zak1	SOKU	칙	CHIK CHUK	tắc	tzək
盡	jǐn	zeon6	JIN	진	CIN	tận	*dzhǐn
命	mìng	meng6 ming6	MEI MYOU	명	MYENG	mệnh	*miæ̀ng
臨	lín	lam4	RIN	림 임	LIM		*lim
深	shēn	sam1	SHIN	심	SIM	thâm	*shim
履	lǚ	lei5 leoi5	RI	리 이	LI		*lǐ
