銀	yín	ngan2 ngan4	GIN GON	은	UN	ngân	*ngyin
燭	zhú	zuk1	SHOKU SOKU	촉	CHOK	đuốc	*jiok
煒	wěi	wai5	I KI	위	WI		
煌	huáng	wong4	KOU	황	HWANG		huɑng
晝	zhòu	zau3	CHUU	주	CWU		*djiòu
眠	mián	min4	MIN BEN	면	MYEN	miên	*men
夕	xī	zik6	SEKI	석	SEK SA	tịch	*ziɛk
寐	mèi	mei6	BI	매	MAY	mị	mì
藍	lán	laam4	RAN	남 람	LAM	lam	lɑm
笋	sǔn	seon2	JUN SHUN		SWUN		
象	xiàng	zoeng6	SHOU ZOU	상	SANG	tượng	*ziɑ̌ng
床	chuáng	cong4	SHOU	상	SANG	sàng	*jrhiɑng
絃	xián	jin4	GEN	현	HYEN		*hen
歌	gē	go1	KA	가	KA	ca	*gɑ
酒	jiǔ	zau2	SHU	주	CWU		*tziǒu
讌	yàn	jin3	EN	연	YEN		
接	jiē	zip3	SETSU	접	CEP	tiếp	*tziɛp
盃	bēi	bui1	HAI	배	PAY	bôi	*bəi
舉	jǔ	geoi2	KYO			cử	*giǔ
觴	shāng	soeng1	SHOU	상	SANG		*shiɑng
矯	jiǎo	giu2 kiu2	KYOU	교	KYO	kiểu	gyɛ̌u
手	shǒu	sau2	SHU	수	SWU	thủ	*shiǒu
頓	dùn	deon6 duk6	TON TOTSU	돈	TON TWUN	đốn	duə̀n
足	zú	zeoi3 zuk1	SOKU SHOKU SUU	족	COK CWU	túc	*tziok
悅	yuè	jyut6	ETSU	열	YEL	dột	
豫	yù	jyu6	YO SHA SHO	예	YEY		iù
且	qiě	ce2 zeoi1 zoeng1	SHA SHO	차	CHA CE	thả	*tsiǎ tsiǎ
康	kāng	hong1	KOU	강	KANG	khang	kɑng
嫡	dí	dik1	CHAKU TEKI	적	CEK	đích	
後	hòu	hau6	GO KOU	후	HWU	hậu	*hǒu hòu
嗣	sì	zi6	SHI	사	SA	tự	ziə̀
續	xù	zuk6	ZOKU SHOKU	속	SOK	tục	ziok
祭	jì	zai3	SAI	제	CEY CHAY	tế	*tziɛ̀i
祀	sì	zi6	SHI JI	사	SA		ziə̌
烝	zhēng	zing1	JOU SHOU	증	CUNG	chưng	jiəng
嘗	cháng	soeng4	SHOU JOU	상	SANG		*zhiɑng
稽	jī	kai1 kai2	KEI	계	KYEY	ghê	gei kěi
顙	sǎng	song2	SOU	상	SANG		sɑ̌ng
再	zài	zoi3	SAI SA	재	CAY	tái	*tzə̀i tzə̀i
拜	bài	baai1 baai3	HAI	배	PAY	bái	*bæ̀i
悚	sǒng	sung2	SHOU	송	SONG		
懼	jù	geoi6	KU GU	구	KWU		ghiò
恐	kǒng	hung2	KYOU	공	KONG	khủng	*kiǒng
惶	huáng	wong4	KOU	황	HWANG	hoàng	
牋	jiān	zin1	SEN	전	CEN	tiên	tzen
牒	dié	dip6	CHOU JOU	첩	CHEP	điệp	
簡	jiǎn	gaan2	KAN	간	KAN	giản	gɛ̌n
要	yào	jiu1 jiu3	YOU	요	YO	yếu	*qiɛ̀u
顧	gù	gu3	KO	고	KO	cố	*gò
答	dá	daap3	TOU	답	TAP	đáp	*dop
審	shěn	sam2	SHIN	심	SIM	thẩm	
詳	xiáng	coeng4	SHOU YOU	상	SANG YANG	tường	
骸	hái	haai4 hoi4	KAI GAI	해	HAY	hài	
垢	gòu	gau3	KOU KU KIKU	구	KWU	cáu	gǒu
想	xiǎng	soeng2	SOU SO	상	SANG	tưởng	*siɑ̌ng
浴	yù	juk6	YOKU	욕	YOK		iok
執	zhí	zap1	SHITSU SHUU	집	CIP	chấp	jip
熱	rè	jit6	NETSU ZETSU NECHI	열	YEL	nhiệt	*njiɛt
願	yuàn	jyun6	GAN GEN	원	WEN	nguyện	*ngiuæ̀n
涼	liáng	loeng4	RYOU	량	LYANG	lương	*liɑng
驢	lǘ	leoi4 lou4	RYO RO	려	LYE	lừa	liu
騾	luó	lo4	RA	라	LA		
犢	dú	duk6	TOKU	독	TOK		
特	tè	dak6	TOKU DOKU	특	THUK	đặc	dhək
駭	hài	haai5 hoi4 hoi5	KAI GAI	해	HAY	hãi	hæ̀i
躍	yuè	joek3 joek6 tik1	YAKU TEKI	약	YAK CEK	dược	iɑk
超	chāo	ciu1	CHOU	초	CHO	siêu	tjiɛu
驤	xiāng	soeng1	JOU SHOU	양	YANG		siɑng
誅	zhū	zyu1	CHUU CHU	주	CWU	tru	djio
斬	zhǎn	zaam2	ZAN SAN	참	CHAM	trảm	*jræ̌m
賊	zéi	caak6	ZOKU	적	CEK	tặc	*dzhək
盜	dào	dou6	TOU	도	TO	dừa	*dhɑ̀u
捕	bǔ	bou6	HO	포	PHO	bõ	bhò
獲	huò	waai4 wok6	KAKU	획	HOYK HWAK	hoạch	huɛk
叛	pàn	bun6	HAN BAN	반	PAN	bạn	
亡	wáng	mong4 mou4	BOU MOU	망	MANG MWU	vong	*miɑng miɑng
布	bù	bou3	FU	포	PHO	bố	*bò
射	shè	je6 jik6 se6	SHA SEKI	사	SA SEK	xạ	*jhià ià jhiɛk
遼	liáo	liu4	RYOU	료 요	LYO		*leu
丸	wán	jyun2 jyun4	GAN	환	HWAN	hoàn	huɑn
嵇	jī	kai1	KEI GEI				hei
琴	qín	kam4	KIN	금	KUM	cầm	*ghyim
阮	ruǎn	jyun2 jyun5	GEN	완 원	WAN WEN	nguyễn	ngiuæ̌n
嘯	xiào	siu3	SHOU SHITSU	소	SO		*sèu
恬	tián	tim4 tim5	TEN	념	NYEM	điềm	
筆	bǐ	bat1	HITSU	필	PHIL	bút	*byit
倫	lún	leon4	RIN	륜 윤	LYUN	luân	luin
紙	zhǐ	zi2	SHI	지	CI	chỉ	jiɛ̌
鈞	jūn	gwan1 kwan1	KIN	균	KYUN		guin
巧	qiǎo	haau2 kiu2	KOU	교	KYO	xảo	kǎu
任	rèn	jam4 jam6	NIN	임	IM	nhậm	*njim njim
釣	diào	diu3	CHOU	조	CO		*dèu
釋	shì	sik1	SHAKU SEKI EKI	석	SEK	thích	shiɛk
紛	fēn	fan1	FUN	분	PWUN	phân	*piən
利	lì	lei6	RI	리 이	LI	lợi	*lì
俗	sú	zuk6	ZOKU	속	SOK	tục	*ziok ziok
並	bìng	bing3 bing6 bong6	HEI	병	PYENG		bhěng
皆	jiē	gaai1	KAI	개	KAY	giai	*gæi
佳	jiā	gaai1	KA	가	KA KAY	giai	*gɛi gɛi
妙	miào	miu6	MYOU BYOU	묘	MYO	diệu	*miɛ̀u
毛	máo	mou4	MOU BOU	모	MO	mao	*mɑu
施	shī	ji6 si1	SHI I SE	시	SI I	thi	*shiɛ shiɛ shiɛ̀
淑	shū	suk1 suk6	SHUKU	숙	SWUK		zhiuk
姿	zī	zi1	SHI	자	CA	tư	*tzi
工	gōng	gung1	KOU KU	공	KONG	công	gung
顰	pín	pan4	HIN BIN	빈	PIN		bhin
妍	yán	jin4	KEN GEN		YEN	ngơn	ngen
笑	xiào	siu3	SHOU	소	SO		*siɛ̀u
年	nián	nin4	NEN	년 연	NYEN	nên	*nen
矢	shǐ	ci2	SHI	시	SI	ngao thỉ	shǐ
每	měi	mui5	MAI BAI	매	MAY	dằm mỗi	*mə̌i
催	cuī	ceoi1	SAI	최	CHOY	thòi	*tsuəi tsuəi
曦	xī	hei1	GI KI	희	HUY		xyɛ
暉	huī	fai1	KI	휘	HWI		*xiuəi
朗	lǎng	long5	ROU	낭 랑	LANG	lãng	lɑ̌ng
耀	yào	jiu6	YOU	요	YO		iɛ̀u
璇	xuán	syun4	SEN ZEN	선	SEN		
璣	jī	gei1	KI KE GE GI	기	KI		giəi
懸	xuán	jyun4	KEN KE	현	HYEN		*huen
斡	wò	gun2 waat3 wat3	ATSU KAN	알	AL KAN		
晦	huì	fui3	KAI	회	HOY	hổi	xuə̀i
魄	pò	bok3 paak3 tok3	HAKU BAKU	백	PAYK	phách	*pæk
環	huán	waan4	KAN	환	HWAN		*huan
照	zhào	ziu3	SHOU	조	CO	chiếu	*jiɛ̀u
指	zhǐ	zi2	SHI	지	CI	chỉ	*jǐ
薪	xīn	san1	SHIN	신	SIN		sin
修	xiū	sau1	SHUU SHU	수	SWU	tu	*siou siou
祜	hù	wu2	KO GO	호	HO		
永	yǒng	wing5	EI YOU	영	YENG	vắng	*hiuæ̌ng
綏	suī	seoi1	SUI TA	수	YU SWU	nối	
吉	jí	gat1	KICHI KITSU	길	KIL	cát	git
劭	shào	siu6	SHOU	초	CHO		
矩	ju	geoi2	KU	구	KWU	củ	giǔ
步	bù	bou6	HO BU FU	보	PO	bộ	*bhò
引	yǐn	jan5	IN	인	IN	dẫn	*ǐn
領	lǐng	leng5 ling5	RYOU REI	령 영	LYENG	lãnh	liɛ̌ng
俯	fǔ	fu2	FU	부	PWU		*biǒ
仰	yǎng	joeng5 ngong5	GYOU KOU	앙	ANG	ngưỡng	*ngiɑ̌ng ngiɑ̌ng
廊	láng	long4	ROU	낭 랑	LANG	lang	
廟	miào	miu6	BYOU	묘	MYO	miếu	*myɛ̀u
束	shù	cuk1	SOKU	속	SOK	thút	*shiok
帶	dài	daai2 daai3	TAI	대	TAY	đai	*dɑ̀i
矜	jīn	ging1 gwaan1 gwan1	KIN KEI KAN	긍	KUNG KUN	căng	giəng
莊	zhuāng	zong1	SOU	장	CANG	trang	jriɑng
徘	pái	pui4	HAI	배	PAY	bồi	*bhəi
徊	huái	wui4	KAI E	회	HOY	hồi	*huəi
瞻	zhān	zim1	SEN	첨	CHEM	chiêm	jiɛm
眺	tiào	tiu3	CHOU	조	CO		tèu
孤	gū	gu1	KO	고	KO	cô	*go
陋	lòu	lau6	ROU	누 루	LWU	lậu	lòu
寡	guǎ	gwaa2	KA	과	KWA	quả	guǎ
聞	wén	man4 man6	BUN MON	문	MWUN		*miən
愚	yú	jyu4	GU	우	WU	ngu	*ngio
蒙	méng	mung4	BOU MOU	몽	MONG	mông	*mung
等	děng	dang2	TOU	등	TUNG	đẳng	*də̌ng
誚	qiào	ciu3	SHOU	초	CHO		dzhiɛ̀u
謂	wèi	wai6	I	위	WI		*hiuə̀i
語	yǔ	jyu5 jyu6	GO GYO	어	E	ngữ	*ngiǔ ngiù
助	zhù	zo6	JO SHO	조	CO	trợ	jrhiù
者	zhě	ze2	SHA	자	CA		*jiǎ
焉	yān	jin1 jin4	EN I	언	EN	vờn	*qyɛn hyɛn
哉	zāi	zoi1	SAI	재	CAY	tai	
乎	hu	fu1 fu4 wu4	KO	호	HO	hồ	ho
也	yě	jaa5	YA	야	YA	dã	iǎ
